$ python tools/pecensus.py TheWardrobe

path                                              fmt     kind      bytes     linker COFF (UTC)          mtime (local)       CompanyName / module
---------------------------------------------- ------ -------- ---------- ---------- ------------------- ------------------- ------------------------------
a/Plugins/ARM64/Rewired_WindowsGamingInput.dll  PE32+   native     147456      14.34 2024-02-13 20:56:47 2026-06-05 17:02:31 
e Wardrobe_Data/Plugins/x86_64/CSteamworks.dll  PE32+   native     169472      10.00 2017-01-08 22:46:23 2024-09-28 12:05:38 Riley Labrecque
be_Data/Plugins/x86_64/Rewired_DirectInput.dll  PE32+   native     107008      14.34 2024-02-13 21:44:26 2026-06-05 17:02:32 
/Plugins/x86_64/Rewired_WindowsGamingInput.dll  PE32+   native     153088      14.34 2023-10-30 18:44:31 2026-06-05 17:02:33 
The Wardrobe_Data/Plugins/x86_64/fmod.dll       PE32+   native    1642496      10.00 2016-03-03 17:02:59 2024-09-28 12:05:30 Firelight Technologies
The Wardrobe_Data/Plugins/x86_64/fmodl.dll      PE32+   native    1810944      10.00 2016-03-03 17:03:27 2024-09-28 12:05:30 Firelight Technologies
he Wardrobe_Data/Plugins/x86_64/fmodstudio.dll  PE32+   native    3160576      14.29 2022-12-01 04:20:53 2026-06-05 17:02:28 Firelight Technologies
The Wardrobe_Data/Plugins/x86_64/gvraudio.dll   PE32+   native     999936      14.00 2017-05-12 16:57:55 2024-09-28 12:05:30 
be_Data/Plugins/x86_64/lib_burst_generated.dll  PE32+   native     443392      14.00 2026-05-06 12:29:54 2026-06-05 17:02:28 
ardrobe_Data/Plugins/x86_64/resonanceaudio.dll  PE32+   native     816640      14.00 2021-03-22 01:19:07 2026-06-05 17:02:28 
e Wardrobe_Data/Plugins/x86_64/steam_api64.dll  PE32+   native     262944      14.14 2020-02-21 01:25:20 2026-06-05 17:02:28 Valve Corporation
UnityCrashHandler64.exe                         PE32+   native    1609136      14.42 2026-01-27 10:56:00 2026-06-05 17:02:28 
UnityPlayer.dll                                 PE32+   native   35780016      14.42 2026-01-27 11:13:20 2026-06-05 17:02:28 Unity Technologies

=== files whose mtime PRECEDES their own COFF link timestamp ===
(a file cannot be written before it is linked; where this happens
 the mtime is synthetic, or the two clocks are in different zones)

    none

impossible mtimes : 0 of 25 datable binaries
deterministic (hash) stamps, not dates, counted apart : 136 of 143 managed
  (a managed PE whose COFF field has bit 31 set, or lies after its
   own mtime, carries Roslyn's build hash; repaired on pc-thewardrobe-doc)

binaries        : 161
by format       : PE32 143, PE32+ 18
COFF range      : 2016-03-03 .. 2026-05-06   (over 25 datable stamps; 136 hashes excluded)
